"species","gear","age","size"
"Mycteroperca microlepis","Hook and line",1,1
"Mycteroperca microlepis","Hook and line",2,11
"Mycteroperca microlepis","Hook and line",3,21
"Mycteroperca microlepis","Hook and line",4,31
"Mycteroperca microlepis","Hook and line",5,41
"Mycteroperca microlepis","Hook and line",6,51
"Mycteroperca microlepis","Hook and line",7,61
"Mycteroperca microlepis","Hook and line",8,71
"Mycteroperca microlepis","Hook and line",9,81
"Mycteroperca microlepis","Hook and line",10,91
